epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3133,1.47996,1.31716,1.25281,0.90149,0.49936,0.55157,0.32662,1.43925,0.99307,1.26992,0.000474428,0.000474428,0.000474428
2,142.52,1.40989,0.98621,1.21561,0.92032,0.49467,0.56478,0.33839,1.43695,0.93269,1.27432,0.000903699,0.000903699,0.000903699
3,213.892,1.41505,0.96548,1.21764,0.90906,0.49772,0.5537,0.32898,1.44204,0.91988,1.29674,0.00128581,0.00128581,0.00128581
4,284.943,1.39796,0.93527,1.20951,0.91682,0.54593,0.59025,0.35297,1.41774,0.85952,1.27521,0.00121679,0.00121679,0.00121679
5,355.989,1.36126,0.87097,1.18393,0.93089,0.54385,0.59835,0.36844,1.38349,0.7924,1.26516,0.00114606,0.00114606,0.00114606
6,426.852,1.34009,0.85333,1.17058,0.93407,0.54348,0.60226,0.37717,1.34464,0.75217,1.22792,0.00107532,0.00107532,0.00107532
7,497.789,1.3101,0.8115,1.15845,0.92495,0.55017,0.59923,0.37795,1.34063,0.73536,1.23301,0.00100459,0.00100459,0.00100459
8,568.942,1.30624,0.79478,1.15421,0.93566,0.54049,0.59651,0.37864,1.33094,0.75006,1.22557,0.000933851,0.000933851,0.000933851
9,639.936,1.29587,0.77311,1.14226,0.94148,0.55867,0.60957,0.3863,1.3386,0.72551,1.21643,0.000863116,0.000863116,0.000863116
10,710.932,1.26931,0.74808,1.13832,0.93373,0.56367,0.61718,0.39342,1.32221,0.69869,1.20996,0.00079238,0.00079238,0.00079238
11,782.093,1.26571,0.68059,1.15906,0.93025,0.56286,0.61443,0.38829,1.31333,0.6927,1.21181,0.000721645,0.000721645,0.000721645
12,852.471,1.25185,0.66074,1.15822,0.94749,0.56821,0.62348,0.39531,1.30131,0.67843,1.20654,0.000650909,0.000650909,0.000650909
13,923.02,1.24116,0.63952,1.14652,0.94345,0.56921,0.61723,0.39845,1.30778,0.67349,1.21181,0.000580174,0.000580174,0.000580174
14,993.539,1.22631,0.62486,1.13804,0.92971,0.57934,0.62789,0.40246,1.28012,0.64896,1.20113,0.000509438,0.000509438,0.000509438
15,1064.14,1.20979,0.60896,1.12312,0.94619,0.57479,0.63193,0.41229,1.27303,0.6436,1.19232,0.000438703,0.000438703,0.000438703
16,1134.58,1.1874,0.58783,1.11761,0.94261,0.57781,0.62993,0.40764,1.27503,0.63858,1.19623,0.000367967,0.000367967,0.000367967
17,1205.2,1.17802,0.57002,1.11231,0.94551,0.58044,0.63115,0.40896,1.28444,0.62383,1.19995,0.000297232,0.000297232,0.000297232
18,1275.7,1.16578,0.55956,1.10537,0.95401,0.57633,0.63618,0.41544,1.26808,0.61174,1.19085,0.000226497,0.000226497,0.000226497
19,1346.03,1.1472,0.54015,1.0948,0.94568,0.58311,0.63629,0.41535,1.26149,0.60446,1.18412,0.000155761,0.000155761,0.000155761
20,1416.37,1.13834,0.52734,1.08988,0.94948,0.58208,0.63663,0.42139,1.24438,0.59221,1.1781,8.50255e-05,8.50255e-05,8.50255e-05
